#time(s),x(m),y(m),z(m),qx,qy,qz,qw,gt_x(m),gt_y(m),gt_z(m),gt_qx,gt_qy,gt_qz,gt_qw
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1.000000,0.003409,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.003409,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2.000000,0.026968,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.026968,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3.000000,0.090677,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.090677,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
4.000000,0.214536,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.214536,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
5.000000,0.418544,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.418544,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
6.000000,0.722703,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.722703,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7.000000,1.147012,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.147012,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8.000000,1.711471,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.711471,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
9.000000,2.436080,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.436080,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
10.000000,3.340839,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,3.340839,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
11.000000,4.445748,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.445748,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
12.000000,5.770807,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5.770807,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
13.000000,7.336015,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7.336015,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
14.000000,9.161374,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,9.161374,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
15.000000,11.266883,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,11.266883,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
16.000000,13.672542,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,13.672542,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
17.000000,16.398351,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,16.398351,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
18.000000,19.464310,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,19.464310,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
19.000000,22.890419,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,22.890419,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
20.000000,26.696678,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,26.696678,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
21.000000,30.903086,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,30.903086,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
22.000000,35.529645,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,35.529645,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
23.000000,40.596354,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,40.596354,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
24.000000,46.123213,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,46.123213,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
25.000000,52.130222,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,52.130222,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
26.000000,58.637381,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,58.637381,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
27.000000,65.664690,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,65.664690,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
28.000000,73.232149,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,73.232149,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
29.000000,81.359757,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,81.359757,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
30.000000,90.067516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,90.067516,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
31.000000,99.375425,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,99.375425,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
32.000000,109.303484,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,109.303484,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
33.000000,119.871693,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,119.871693,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
34.000000,131.100052,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,131.100052,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
35.000000,143.008561,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,143.008561,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
36.000000,155.617220,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,155.617220,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
37.000000,168.946028,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,168.946028,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
38.000000,183.014987,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,183.014987,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
39.000000,197.844096,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,197.844096,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
